EmployeeNumber,Age,Gender,MaritalStatus,Department,JobRole,EducationField,Education,JobLevel,MonthlyIncome,PercentSalaryHike,StockOptionLevel,PerformanceRating,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,JobInvolvement,BusinessTravel,OverTime,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,NumCompaniesWorked,TrainingTimesLastYear,DistanceFromHome,Attrition
35,20,Female,Single,Research & Development,Healthcare Representative,Other,5,2,13119,17,0,3,2,2,2,3,Travel_Frequently,Yes,9,14,2,1,2,6,10,No
36,36,Male,Married,Research & Development,Manufacturing Director,Life Sciences,5,1,24588,25,0,3,1,2,3,2,Non-Travel,No,36,28,18,0,4,4,2,No
37,48,Male,Divorced,Research & Development,Laboratory Technician,Life Sciences,4,3,9731,17,0,3,3,4,4,3,Travel_Rarely,No,31,33,9,12,8,0,15,No
38,38,Male,Single,Sales,Sales Representative,Marketing,5,4,3869,21,0,3,4,2,3,2,Non-Travel,No,18,7,7,7,1,0,21,No
39,28,Male,Single,Research & Development,Laboratory Technician,Medical,4,3,7842,19,1,3,3,3,3,3,Travel_Rarely,Yes,29,19,17,4,6,1,20,No
40,22,Male,Divorced,Research & Development,Laboratory Technician,Marketing,5,5,6856,21,1,3,4,3,4,3,Travel_Frequently,No,35,17,17,12,7,2,28,No
41,33,Female,Single,Sales,Manager,Technical Degree,4,2,21505,18,3,3,3,4,4,3,Travel_Frequently,No,6,36,14,3,8,3,1,No
42,59,Female,Married,Research & Development,Research Director,Other,5,4,19742,16,1,4,1,3,4,3,Travel_Frequently,No,39,9,1,3,4,1,24,No
43,58,Male,Single,Sales,Sales Executive,Marketing,4,2,6242,14,1,3,3,4,3,2,Travel_Rarely,No,5,6,6,3,7,4,5,No
44,34,Female,Married,Sales,Manager,Human Resources,3,4,30143,22,0,4,2,2,1,3,Travel_Frequently,Yes,30,29,3,7,6,4,12,Yes
45,36,Female,Single,Research & Development,Manager,Marketing,2,5,16249,23,0,3,4,3,3,4,Travel_Frequently,Yes,8,1,2,0,0,2,26,No
46,41,Female,Married,Research & Development,Manufacturing Director,Marketing,5,5,19056,25,0,3,1,4,2,4,Non-Travel,Yes,18,8,5,1,7,0,5,Yes
47,43,Female,Married,Research & Development,Laboratory Technician,Other,3,5,10148,17,2,4,3,1,4,2,Travel_Rarely,Yes,1,35,17,10,9,1,21,No
48,37,Male,Married,Sales,Sales Representative,Human Resources,2,4,8620,18,0,4,1,4,1,3,Travel_Rarely,No,37,26,4,13,1,6,16,Yes
49,20,Male,Married,Research & Development,Healthcare Representative,Other,3,1,12720,17,0,4,2,4,3,4,Travel_Rarely,Yes,5,23,6,0,0,6,11,No
50,54,Male,Divorced,Sales,Sales Executive,Medical,5,1,8376,15,2,3,1,2,4,2,Travel_Rarely,Yes,11,13,1,10,0,1,1,No
51,55,Female,Divorced,Research & Development,Laboratory Technician,Technical Degree,4,3,8727,19,1,3,1,2,2,3,Travel_Rarely,No,33,20,9,14,0,0,16,No
52,24,Male,Married,Research & Development,Research Director,Other,5,5,27501,22,0,4,4,3,3,3,Travel_Rarely,Yes,38,31,13,3,1,6,21,Yes
53,31,Male,Married,Research & Development,Manufacturing Director,Technical Degree,3,3,25764,16,3,3,3,3,2,2,Travel_Frequently,No,5,27,2,13,1,5,24,No
54,53,Female,Divorced,Research & Development,Laboratory Technician,Technical Degree,1,3,5147,20,0,3,3,3,3,2,Travel_Frequently,Yes,30,3,1,0,5,6,18,No
55,54,Female,Divorced,Research & Development,Healthcare Representative,Other,3,1,11188,13,0,3,4,4,4,3,Non-Travel,Yes,11,14,4,12,1,1,24,No
56,23,Male,Single,Research & Development,Research Scientist,Human Resources,5,1,14527,25,0,3,2,3,3,4,Travel_Frequently,No,17,33,14,13,7,4,15,Yes
57,50,Male,Divorced,Research & Development,Laboratory Technician,Medical,4,5,4012,11,0,3,2,2,2,2,Non-Travel,No,16,7,4,5,1,0,16,No
58,26,Female,Divorced,Research & Development,Laboratory Technician,Life Sciences,4,1,7670,18,3,4,3,3,2,3,Non-Travel,No,40,24,13,9,1,3,1,Yes
59,57,Male,Married,Human Resources,Human Resources,Human Resources,1,4,9327,24,0,3,4,3,4,2,Travel_Rarely,Yes,32,29,3,6,5,2,24,No
60,33,Female,Single,Human Resources,Human Resources,Technical Degree,4,5,5672,23,1,3,1,4,2,3,Non-Travel,Yes,39,6,5,5,2,3,3,Yes
61,37,Male,Married,Research & Development,Manager,Marketing,1,1,21105,20,1,3,3,3,3,4,Travel_Rarely,No,2,17,14,6,5,4,16,No
62,46,Female,Single,Research & Development,Research Scientist,Technical Degree,5,5,6444,20,0,3,4,2,4,3,Non-Travel,Yes,21,6,0,5,1,2,4,Yes
63,36,Female,Single,Research & Development,Research Director,Marketing,3,4,25144,13,1,4,4,3,3,3,Non-Travel,No,21,16,4,2,6,4,12,Yes
64,29,Male,Single,Sales,Sales Representative,Life Sciences,5,5,5652,24,1,3,2,3,4,4,Travel_Rarely,Yes,39,13,2,9,6,1,6,Yes
65,57,Female,Divorced,Sales,Manager,Other,4,2,18331,19,0,4,4,4,1,4,Travel_Frequently,Yes,12,10,5,10,9,3,15,No
66,50,Male,Divorced,Research & Development,Research Director,Technical Degree,3,5,25112,25,0,4,3,4,2,3,Travel_Rarely,Yes,10,33,8,14,8,1,27,No
67,46,Female,Divorced,Research & Development,Laboratory Technician,Marketing,2,1,7138,16,3,3,4,3,3,4,Travel_Frequently,No,8,22,1,9,7,5,27,No
68,48,Male,Married,Sales,Manager,Other,5,5,28578,17,0,3,3,3,4,1,Travel_Rarely,Yes,26,28,14,2,1,6,29,No
69,19,Male,Married,Research & Development,Manufacturing Director,Human Resources,4,2,19282,21,1,3,3,3,2,4,Travel_Rarely,No,34,40,16,0,6,6,16,Yes
70,41,Female,Married,Sales,Sales Representative,Human Resources,3,2,7670,11,0,3,4,3,3,4,Travel_Rarely,Yes,29,16,15,5,2,0,23,No
71,20,Female,Married,Research & Development,Research Director,Human Resources,4,3,24866,11,2,3,2,3,4,4,Travel_Rarely,No,21,18,8,3,5,3,29,No
72,42,Female,Married,Research & Development,Research Director,Life Sciences,4,5,18584,24,0,3,4,1,3,3,Travel_Frequently,No,18,21,9,14,9,5,14,No
73,40,Female,Divorced,Sales,Sales Representative,Life Sciences,1,4,7862,16,1,3,1,2,4,1,Travel_Frequently,No,38,28,14,1,2,0,8,Yes
74,41,Male,Divorced,Research & Development,Healthcare Representative,Life Sciences,5,2,14331,19,0,3,4,2,1,4,Travel_Rarely,No,1,24,5,15,8,3,18,No
75,46,Male,Single,Sales,Sales Representative,Medical,4,1,6440,23,1,4,4,3,2,3,Travel_Frequently,Yes,4,13,8,8,4,2,28,Yes
76,58,Male,Single,Sales,Manager,Marketing,5,5,24244,16,1,4,4,2,3,4,Travel_Rarely,Yes,4,11,4,6,7,4,14,Yes
77,22,Female,Married,Research & Development,Manufacturing Director,Human Resources,5,2,20198,23,3,3,4,4,3,1,Travel_Frequently,No,7,8,8,2,4,1,6,Yes
78,32,Female,Single,Research & Development,Manager,Marketing,2,3,18094,20,1,3,4,2,3,4,Travel_Frequently,No,9,22,5,10,9,0,27,Yes
79,20,Female,Married,Research & Development,Research Scientist,Marketing,3,4,12803,14,2,3,2,2,2,1,Non-Travel,Yes,3,36,5,14,6,3,15,No
80,27,Male,Married,Sales,Manager,Life Sciences,3,2,18227,18,0,3,4,2,3,1,Travel_Frequently,Yes,24,20,13,7,2,6,11,No
81,30,Female,Married,Human Resources,Manager,Human Resources,4,2,25754,14,1,3,3,2,3,3,Travel_Frequently,No,30,10,4,8,0,6,4,Yes
82,41,Male,Divorced,Research & Development,Healthcare Representative,Technical Degree,5,4,13522,23,1,3,3,3,3,3,Non-Travel,Yes,8,25,3,12,5,6,11,No
83,27,Male,Single,Research & Development,Healthcare Representative,Technical Degree,5,4,9387,13,1,3,3,3,3,3,Travel_Rarely,Yes,10,12,6,9,4,4,11,Yes
84,52,Female,Married,Research & Development,Manufacturing Director,Human Resources,3,1,17367,20,1,4,4,4,2,4,Travel_Rarely,No,36,31,7,1,9,3,6,No
85,57,Male,Divorced,Research & Development,Manager,Technical Degree,2,4,21515,22,0,3,1,3,3,3,Travel_Rarely,Yes,3,24,4,6,8,2,22,Yes
86,38,Male,Married,Research & Development,Research Director,Medical,3,5,18102,15,0,4,3,2,3,3,Non-Travel,No,13,11,11,11,7,2,16,No
87,35,Female,Married,Research & Development,Manager,Marketing,1,3,25652,22,0,4,1,3,3,4,Travel_Frequently,No,13,18,6,8,8,5,9,No
88,55,Male,Single,Sales,Manager,Other,4,1,23878,21,2,3,2,3,3,4,Non-Travel,Yes,26,15,15,15,3,6,10,Yes
89,21,Male,Divorced,Research & Development,Manager,Medical,1,4,25061,23,1,4,3,4,2,4,Non-Travel,Yes,2,5,0,2,9,4,4,No
90,36,Female,Single,Human Resources,Manager,Marketing,2,4,24570,21,0,3,4,4,3,4,Travel_Frequently,No,36,29,6,5,9,6,21,No
91,50,Male,Single,Research & Development,Research Director,Marketing,4,2,17435,18,2,4,1,3,3,4,Travel_Rarely,No,0,20,8,11,3,0,22,No
92,28,Female,Married,Sales,Sales Representative,Marketing,5,2,8854,14,3,3,3,3,4,4,Non-Travel,Yes,23,25,13,15,8,6,22,No
93,56,Male,Single,Research & Development,Laboratory Technician,Human Resources,2,5,5225,19,0,3,3,3,3,2,Travel_Frequently,Yes,13,5,5,4,7,0,29,Yes
94,47,Male,Divorced,Research & Development,Research Scientist,Life Sciences,4,3,8040,24,0,3,3,1,3,3,Travel_Rarely,No,4,8,8,0,1,3,2,No
95,26,Female,Married,Sales,Sales Executive,Human Resources,2,3,13833,12,0,3,3,3,4,4,Travel_Frequently,No,14,26,0,0,4,3,22,Yes
96,52,Female,Single,Research & Development,Research Director,Life Sciences,1,4,22725,20,2,4,4,1,2,2,Travel_Frequently,No,6,24,1,14,9,5,23,Yes
97,20,Female,Single,Research & Development,Laboratory Technician,Human Resources,3,5,8654,20,2,3,3,2,3,4,Travel_Rarely,No,33,25,7,13,4,2,2,No
98,29,Male,Married,Research & Development,Manufacturing Director,Technical Degree,4,2,22989,15,0,3,3,3,3,4,Travel_Rarely,No,19,40,4,14,0,4,14,No
99,42,Female,Married,Human Resources,Human Resources,Medical,1,3,6460,17,1,3,2,4,3,2,Travel_Rarely,No,37,15,6,15,3,6,11,Yes
100,31,Male,Single,Research & Development,Research Scientist,Marketing,3,4,6970,18,1,3,4,2,2,3,Travel_Frequently,Yes,31,12,7,1,7,6,27,Yes
101,41,Male,Divorced,Research & Development,Laboratory Technician,Human Resources,5,4,6475,15,0,3,3,3,3,4,Travel_Rarely,Yes,31,20,17,10,4,6,27,Yes
102,59,Male,Single,Research & Development,Manager,Human Resources,1,5,27064,11,2,3,3,4,3,1,Travel_Frequently,Yes,0,31,13,4,3,0,23,No
103,50,Male,Divorced,Sales,Sales Executive,Human Resources,5,4,12207,11,0,3,3,3,3,3,Non-Travel,No,32,29,13,5,1,0,17,No
104,57,Male,Single,Sales,Sales Executive,Medical,2,3,13954,21,2,3,2,4,3,3,Travel_Frequently,No,2,33,2,12,6,3,18,No
105,18,Female,Married,Research & Development,Manager,Medical,2,5,26321,18,0,4,1,4,4,3,Non-Travel,Yes,34,10,9,10,0,1,28,No
106,55,Male,Single,Research & Development,Laboratory Technician,Technical Degree,5,3,4798,17,2,3,4,4,3,4,Travel_Frequently,No,32,9,5,0,1,3,8,Yes
107,56,Male,Single,Research & Development,Healthcare Representative,Medical,3,5,15204,17,0,3,4,3,3,2,Travel_Frequently,No,39,39,9,7,1,0,9,No
108,58,Male,Single,Sales,Manager,Marketing,1,2,24183,12,0,3,4,3,3,3,Travel_Rarely,Yes,1,9,1,5,8,0,20,No
109,42,Male,Divorced,Research & Development,Healthcare Representative,Technical Degree,2,2,6451,15,0,3,2,1,3,3,Travel_Rarely,Yes,26,0,1,1,1,2,9,No
110,56,Female,Single,Human Resources,Manager,Marketing,4,3,21531,17,2,4,2,4,2,2,Travel_Frequently,No,20,39,6,15,5,1,13,Yes
111,58,Male,Married,Human Resources,Manager,Life Sciences,5,2,22644,20,3,3,4,4,4,1,Travel_Frequently,No,29,31,6,14,4,6,23,No
112,49,Male,Single,Sales,Sales Representative,Human Resources,4,5,4212,17,1,4,3,4,2,3,Non-Travel,No,2,8,5,8,9,5,3,No
113,60,Male,Divorced,Sales,Sales Executive,Technical Degree,1,1,13807,12,0,3,2,3,3,3,Non-Travel,No,36,22,7,14,5,3,15,No
114,50,Male,Married,Research & Development,Manufacturing Director,Other,2,3,20785,15,0,3,2,3,1,3,Travel_Rarely,No,6,9,7,7,5,0,10,No
115,25,Male,Single,Sales,Manager,Marketing,5,4,21025,18,0,3,4,2,3,3,Non-Travel,Yes,27,1,1,0,9,1,15,No
116,18,Male,Divorced,Research & Development,Research Director,Marketing,3,2,25057,18,0,3,2,3,4,4,Travel_Rarely,Yes,20,13,9,6,9,3,19,No
117,47,Male,Divorced,Sales,Sales Representative,Medical,3,1,11858,13,0,3,2,3,3,3,Travel_Frequently,Yes,36,39,12,13,2,3,21,No
118,29,Female,Married,Research & Development,Manager,Life Sciences,4,2,22128,14,2,4,2,3,2,3,Travel_Rarely,No,31,35,13,14,7,1,3,No
119,36,Male,Married,Research & Development,Laboratory Technician,Life Sciences,3,5,4942,24,3,3,2,4,3,4,Travel_Rarely,No,28,2,1,3,1,5,27,No
120,37,Male,Married,Research & Development,Laboratory Technician,Other,5,3,4094,24,1,3,3,2,3,2,Travel_Rarely,Yes,13,2,1,0,9,2,18,No
121,28,Female,Married,Sales,Manager,Technical Degree,1,3,27044,24,1,3,4,2,2,2,Non-Travel,Yes,20,20,7,12,7,1,19,Yes
122,44,Female,Married,Research & Development,Manager,Technical Degree,4,3,28975,20,0,3,3,4,3,4,Travel_Rarely,No,29,24,11,2,8,3,7,No
123,49,Male,Divorced,Human Resources,Human Resources,Marketing,1,1,7848,12,1,3,2,1,2,4,Non-Travel,Yes,10,17,14,14,0,3,7,No
124,59,Male,Single,Human Resources,Human Resources,Other,2,1,7546,17,1,3,2,4,4,3,Travel_Frequently,No,5,19,3,0,3,3,3,Yes
125,51,Male,Married,Sales,Sales Executive,Life Sciences,1,1,11586,16,0,3,1,3,3,4,Travel_Rarely,Yes,8,28,4,2,8,4,1,No
126,46,Male,Married,Research & Development,Laboratory Technician,Life Sciences,2,1,7825,20,1,3,4,3,3,4,Travel_Rarely,No,15,22,8,2,3,4,20,No
127,36,Male,Single,Research & Development,Manufacturing Director,Life Sciences,2,4,19289,17,0,3,4,3,3,3,Travel_Frequently,Yes,0,1,1,1,2,3,28,No
128,41,Male,Single,Research & Development,Research Director,Life Sciences,4,5,29128,15,1,3,3,3,4,4,Travel_Rarely,Yes,5,34,17,4,4,0,10,Yes
129,27,Male,Divorced,Sales,Sales Executive,Medical,1,2,11708,12,3,3,2,3,3,1,Non-Travel,Yes,11,34,3,0,2,5,1,Yes
130,51,Female,Married,Sales,Sales Representative,Other,1,1,9999,16,2,3,4,1,3,4,Travel_Rarely,Yes,36,33,2,15,7,4,12,No
131,28,Male,Divorced,Sales,Manager,Life Sciences,1,2,22671,11,1,3,2,2,4,4,Non-Travel,Yes,2,23,17,13,3,2,8,Yes
132,38,Female,Divorced,Research & Development,Manager,Life Sciences,4,1,18981,25,1,3,4,4,3,3,Travel_Rarely,Yes,35,17,14,0,5,1,10,Yes
133,57,Female,Single,Research & Development,Healthcare Representative,Life Sciences,2,5,8879,16,1,3,3,1,3,3,Travel_Frequently,Yes,24,15,9,3,3,4,8,Yes
134,27,Female,Married,Research & Development,Research Scientist,Human Resources,1,5,8917,13,1,3,1,3,4,1,Non-Travel,No,8,17,7,9,4,6,11,No
135,38,Male,Single,Human Resources,Manager,Technical Degree,3,4,28772,12,1,4,3,2,2,3,Travel_Rarely,Yes,16,20,3,2,2,6,22,Yes
136,56,Male,Single,Research & Development,Manager,Life Sciences,3,3,17270,24,3,3,2,3,4,3,Travel_Rarely,Yes,35,2,1,0,7,0,26,No
137,18,Female,Single,Research & Development,Research Scientist,Other,1,5,6865,20,0,3,4,1,4,1,Travel_Rarely,No,28,3,1,0,5,0,2,No
138,28,Male,Single,Human Resources,Human Resources,Medical,2,3,12947,15,0,3,3,3,3,3,Travel_Frequently,No,18,36,15,13,8,3,2,No
139,26,Female,Single,Sales,Sales Representative,Marketing,4,5,8268,23,1,4,2,3,4,3,Non-Travel,Yes,11,26,0,10,9,1,1,No
140,21,Male,Single,Research & Development,Healthcare Representative,Human Resources,1,2,16351,20,2,3,3,3,4,4,Travel_Rarely,Yes,11,30,5,7,9,2,26,Yes
141,55,Male,Divorced,Research & Development,Healthcare Representative,Technical Degree,5,3,10502,13,1,3,4,2,3,2,Non-Travel,Yes,33,1,1,0,5,4,7,No
142,29,Female,Single,Research & Development,Healthcare Representative,Life Sciences,3,4,10571,20,0,3,1,2,2,2,Non-Travel,Yes,27,20,15,10,2,5,18,No
143,40,Female,Married,Research & Development,Manufacturing Director,Other,5,4,18521,24,3,4,3,1,4,3,Travel_Frequently,No,39,14,7,3,7,1,11,Yes
144,40,Male,Divorced,Research & Development,Laboratory Technician,Medical,1,3,7122,15,2,3,2,1,4,3,Travel_Rarely,No,26,20,5,13,7,3,12,No
145,48,Male,Married,Research & Development,Research Scientist,Life Sciences,3,3,12499,12,0,3,3,3,3,4,Travel_Rarely,Yes,35,36,2,10,9,4,29,No
146,45,Male,Single,Research & Development,Research Scientist,Other,5,5,6277,15,1,3,3,1,3,3,Travel_Rarely,No,35,10,7,2,0,2,1,No
147,60,Female,Single,Research & Development,Healthcare Representative,Technical Degree,1,3,16450,23,0,3,3,3,2,2,Travel_Rarely,Yes,34,40,12,5,5,3,12,No
148,34,Female,Divorced,Sales,Sales Executive,Life Sciences,1,3,12925,23,1,4,3,3,2,3,Travel_Frequently,Yes,24,28,16,13,8,5,28,Yes
149,48,Female,Single,Human Resources,Human Resources,Medical,2,2,7348,23,0,3,1,1,4,4,Non-Travel,Yes,12,19,4,8,5,5,26,Yes
150,53,Female,Married,Sales,Sales Representative,Human Resources,4,1,7876,17,0,3,3,3,4,4,Non-Travel,Yes,6,25,3,3,4,6,18,No
151,34,Male,Single,Research & Development,Research Director,Human Resources,4,1,27699,17,2,3,3,2,3,4,Travel_Frequently,Yes,17,24,11,0,5,6,26,Yes
152,49,Male,Divorced,Research & Development,Healthcare Representative,Other,4,5,7707,21,0,3,4,4,2,3,Travel_Frequently,No,31,6,5,0,8,6,6,No
153,50,Female,Single,Sales,Manager,Life Sciences,2,1,19597,18,0,3,1,2,4,3,Non-Travel,Yes,29,25,16,12,1,5,1,Yes
154,56,Female,Divorced,Sales,Sales Representative,Marketing,1,3,8951,11,0,3,2,3,4,4,Non-Travel,No,14,28,7,6,4,5,14,Yes
155,18,Female,Single,Research & Development,Manager,Marketing,3,4,31317,25,0,3,4,2,3,3,Non-Travel,Yes,33,30,12,3,0,4,22,Yes
156,53,Male,Married,Human Resources,Manager,Marketing,3,3,23436,21,1,4,3,2,2,2,Travel_Rarely,Yes,15,38,1,12,5,5,5,No
157,49,Female,Divorced,Research & Development,Manager,Medical,3,2,24919,21,1,3,2,4,3,4,Travel_Frequently,Yes,32,18,9,5,8,1,10,No
158,34,Male,Married,Sales,Sales Executive,Marketing,4,3,15587,16,0,3,4,4,2,3,Non-Travel,Yes,40,35,18,2,7,1,17,Yes
159,42,Female,Single,Sales,Manager,Technical Degree,2,3,22379,24,1,3,2,3,1,3,Travel_Rarely,Yes,11,33,10,1,0,3,9,Yes
160,54,Male,Single,Sales,Sales Executive,Technical Degree,4,1,10425,11,1,3,3,4,4,4,Travel_Rarely,No,33,10,3,0,0,5,24,No
161,40,Male,Married,Sales,Manager,Marketing,4,5,21239,20,1,3,1,4,3,2,Non-Travel,Yes,31,19,11,6,2,6,13,Yes
162,26,Female,Single,Sales,Sales Executive,Technical Degree,3,5,10557,20,0,4,4,3,3,3,Travel_Rarely,No,1,13,0,11,1,3,15,No
163,34,Female,Divorced,Research & Development,Manufacturing Director,Other,5,3,23152,20,1,3,4,4,2,2,Non-Travel,Yes,39,30,3,9,1,6,4,No
164,30,Male,Divorced,Research & Development,Manufacturing Director,Technical Degree,2,4,19325,16,0,3,4,1,4,2,Travel_Frequently,No,36,16,15,4,1,6,17,No
165,24,Female,Married,Sales,Manager,Life Sciences,3,3,17101,23,1,3,3,1,3,4,Travel_Frequently,No,2,16,0,4,2,2,12,Yes
166,35,Male,Married,Research & Development,Manufacturing Director,Technical Degree,4,4,20270,21,2,3,3,2,3,4,Travel_Rarely,No,10,5,0,3,9,3,26,No
167,29,Male,Divorced,Research & Development,Research Director,Technical Degree,4,1,23649,12,0,3,3,4,3,4,Travel_Rarely,Yes,36,39,18,7,5,4,17,No
168,24,Female,Divorced,Research & Development,Manufacturing Director,Human Resources,1,1,17858,21,3,3,3,3,2,3,Travel_Frequently,No,10,27,2,15,5,1,11,Yes
169,50,Male,Single,Human Resources,Human Resources,Life Sciences,4,4,6312,16,0,3,3,3,3,2,Travel_Rarely,No,26,14,1,0,1,6,20,No
170,50,Female,Married,Human Resources,Manager,Marketing,5,5,27283,20,1,3,2,4,3,2,Travel_Frequently,Yes,14,35,0,10,5,6,21,No
171,53,Female,Married,Human Resources,Manager,Technical Degree,1,3,27988,20,0,3,3,4,2,2,Travel_Rarely,Yes,12,33,10,3,6,0,21,No
172,25,Female,Single,Research & Development,Manufacturing Director,Human Resources,4,5,16274,18,3,3,3,4,3,4,Non-Travel,No,11,28,4,3,6,5,20,Yes
173,50,Male,Single,Research & Development,Healthcare Representative,Marketing,4,2,12738,13,0,3,3,4,3,3,Non-Travel,No,35,24,10,6,3,1,20,No
174,40,Female,Divorced,Research & Development,Manager,Human Resources,4,5,17237,20,3,3,4,3,3,4,Travel_Rarely,No,34,8,4,6,0,4,4,No
175,21,Male,Married,Sales,Sales Executive,Marketing,2,5,8620,11,0,3,2,3,4,4,Travel_Rarely,No,35,3,1,4,6,1,17,Yes
